title,country,release_year,type,is_recent
Dick Johnson Is Dead,United States,2020,Movie,True
The Starling,United States,2021,Movie,True
Je Suis Karl,"Germany, Czech Republic",2021,Movie,True
Birth of the Dragon,"China, Canada, United States",2017,Movie,False
King of Boys,Nigeria,2018,Movie,False
Kate,United States,2021,Movie,True
Omo Ghetto: the Saga,Nigeria,2020,Movie,True
Paradise Hills,"Spain, United States",2019,Movie,False
The Women and the Murderer,France,2021,Movie,True
Show Dogs,"United Kingdom, United States",2018,Movie,False
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,2018,Movie,False
Untold: Breaking Point,United States,2021,Movie,True
Angamaly Diaries,India,2017,Movie,False
A Champion Heart,United States,2018,Movie,False
Dhanak,India,2015,Movie,False
Final Account,"United Kingdom, United States",2021,Movie,True
Gurgaon,India,2017,Movie,False
Shikara,India,2020,Movie,True
Chappie,"South Africa, United States",2015,Movie,False
Extraction,"United States, United Kingdom, Canada",2015,Movie,False
Janoskians: Untold and Untrue,United States,2016,Movie,False
Level 16,Canada,2018,Movie,False
Marshall,"United States, China, Hong Kong",2017,Movie,False
Same Kind of Different as Me,United States,2017,Movie,False
Snervous Tyler Oakley,United States,2015,Movie,False
Thimmarusu,India,2021,Movie,True
Wind River,"United Kingdom, Canada, United States",2017,Movie,False
Kyaa Kool Hain Hum 3,India,2016,Movie,False
Really Love,United States,2020,Movie,True
The Old Ways,United States,2020,Movie,True
The Water Man,United States,2021,Movie,True
Count Me In,United Kingdom,2021,Movie,True
Sweet Girl,United States,2021,Movie,True
Pahuna,"India, Nepal",2018,Movie,False
Beckett,"Italy, Brazil, Greece",2021,Movie,True
Lokillo: Nothing's the Same,Colombia,2021,Movie,True
Monster Hunter: Legends of the Guild,"United States, Japan",2021,Movie,True
Brother Jekwu,Nigeria,2016,Movie,False
La diosa del asfalto,Mexico,2020,Movie,True
Misha and the Wolves,"Belgium, United Kingdom",2021,Movie,True
The Kissing Booth 3,"United Kingdom, United States",2021,Movie,True
Untold: Malice at the Palace,United States,2021,Movie,True
Slay,South Africa,2021,Movie,True
The Paper Tigers,United States,2021,Movie,True
Quam's Money,Nigeria,2020,Movie,True
The Swarm,France,2021,Movie,True
Vivo,"Canada, United States",2021,Movie,True
Lady Boss: The Jackie Collins Story,United Kingdom,2021,Movie,True
'76,Nigeria,2016,Movie,False
Aftermath,United States,2021,Movie,True
Pray Away,United States,2021,Movie,True
Boyka: Undisputed,"Bulgaria, United States",2016,Movie,False
Five Feet Apart,United States,2019,Movie,False
Open Season: Scared Silly,"United States, Canada",2015,Movie,False
Poms,"United Kingdom, United States",2019,Movie,False
The Edge of Seventeen,"United States, China",2016,Movie,False
Bartkowiak,Poland,2021,Movie,True
Fantastic Fungi,United States,2019,Movie,False
The Operative,"France, Israel, Germany, United States, United Kingdom",2019,Movie,False
A Second Chance:  Rivals!,Australia,2021,Movie,True
The Last Letter From Your Lover,United Kingdom,2021,Movie,True
Cousins,New Zealand,2021,Movie,True
Sanitation Day,Nigeria,2020,Movie,True
Milkwater,United States,2020,Movie,True
The Tambour of Retribution,Saudi Arabia,2021,Movie,True
Cosmic Sin,United States,2021,Movie,True
Deep,Thailand,2021,Movie,True
The Beguiled,United States,2017,Movie,False
The Book of Henry,United States,2017,Movie,False
A Perfect Fit,Indonesia,2021,Movie,True
Lift Like a Girl,"Egypt, Denmark, Germany",2021,Movie,True
This Changes Everything,United States,2019,Movie,False
A Classic Horror Story,Italy,2021,Movie,True
American Woman,"United States, Canada",2019,Movie,False
Born to Play,United States,2020,Movie,True
American Ultra,"United States, Switzerland",2015,Movie,False
Ratchet and Clank,"Hong Kong, Canada, United States",2016,Movie,False
Back to Q82,"Kuwait, United States",2017,Movie,False
Home Again,United States,2017,Movie,False
Midnight Sun,United States,2018,Movie,False
Rock the Kasbah,United States,2015,Movie,False
This Little Love Of Mine,Australia,2021,Movie,True
A Land Imagined,"France, Netherlands, Singapore",2019,Movie,False
Har Kisse Ke Hisse: Kaamyaab,India,2020,Movie,True
